Product Title,Variant Name,Color HEX,Product URL
Matte Lip Cream | Wardah Indonesia,Red-dicted	,#a92431,https://www.wardahbeauty.com/id/product/make-up/matte-lip-cream?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=1
Refill Lightening Powder Foundation | Wardah Indonesia,Natural,#f3d4c1,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation | Wardah Indonesia,Beige,#f7dec9,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation | Wardah Indonesia,Ivory,#f3dcba,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Lightening Powder Foundation | Wardah Indonesia,Honey Beige	,#f3dcba,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-lightening-powder-foundation?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Two Way Cake | Wardah Indonesia,Light Beige	,#e8caaf,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-two-way-cake?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Two Way Cake | Wardah Indonesia,Sheer Pink,#e9b9a7,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-two-way-cake?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Two Way Cake | Wardah Indonesia,Sandy Beige,#ecc5a6,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-two-way-cake?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Two Way Cake | Wardah Indonesia,Natural,#dfbb99,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-two-way-cake?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Two Way Cake | Wardah Indonesia,Coffee Beige,#d5aa82,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-two-way-cake?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Flawless Cover Cushion | Wardah Indonesia,Light Beige	,#fed1aa,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-flawless-cover-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Flawless Cover Cushion | Wardah Indonesia,Honey Beige	,#ffd5bb,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-flawless-cover-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Flawless Cover Cushion | Wardah Indonesia,Sandy Beige	,#fec6a8,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-flawless-cover-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Flawless Cover Cushion | Wardah Indonesia,Natural,#e4ab94,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-flawless-cover-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Refill Exclusive Flawless Cover Cushion | Wardah Indonesia,Coffee,,https://www.wardahbeauty.com/id/product/make-up/wardah-refill-exclusive-flawless-cover-cushion?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Velvet Powder Foundation Refill | Wardah Indonesia,Warm Ivory,#f6ddc2,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-velvet-powder-foundation-refill?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Velvet Powder Foundation Refill | Wardah Indonesia,Pink Fair,#f6d9c4,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-velvet-powder-foundation-refill?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Velvet Powder Foundation Refill | Wardah Indonesia,Neutral Beige,#f4d7c4,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-velvet-powder-foundation-refill?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Velvet Powder Foundation Refill | Wardah Indonesia,Olive Beige,#e8cdae,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-velvet-powder-foundation-refill?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Velvet Powder Foundation Refill | Wardah Indonesia,Neutral Sand,#e0bca8,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-velvet-powder-foundation-refill?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Velvet Powder Foundation Refill | Wardah Indonesia,Golden Sand,#e0bc9b,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-velvet-powder-foundation-refill?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Velvet Powder Foundation Refill | Wardah Indonesia,Light Ivory,#f6e0bc,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-velvet-powder-foundation-refill?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Colorfit Velvet Powder Foundation Refill | Wardah Indonesia,Almond,#ddbca3,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-velvet-powder-foundation-refill?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=3
Wardah Colorfit Mattifying Powder | Wardah Indonesia,Light Ivory,#F0BF9B,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-mattifying-powder?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Mattifying Powder | Wardah Indonesia,Warm Ivory,#ECBA93,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-mattifying-powder?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Mattifying Powder | Wardah Indonesia,Neutral Beige,#D5A286,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-mattifying-powder?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Mattifying Powder | Wardah Indonesia,Golden Sand,#DD9767,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-mattifying-powder?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Peach Till Drop,#dc8b8b,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Eternal Sunset,#c65149,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Stick to Latte,#a44e5e,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Brownderlast,#a7554f,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Stay Russet,#b06154,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Infinite Coral,#df7d7c,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Brick On,#A72B2A,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Red Repeat,#BC204B,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Timeless Rose,#B83A4B,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Forever Mauve,#B65A65,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Everlast Pink,#E0457B,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
Wardah Colorfit Last All Day Lip Paint | Wardah Indonesia,Berry Lasting,#D25B73,https://www.wardahbeauty.com/id/product/make-up/wardah-colorfit-last-all-day-lip-paint?ref=https://www.wardahbeauty.com/id/product/list/make-up/sort/all?page=4
